iter	Passed	Remaining
0	140	140757
1	145	72405
2	149	49552
3	153	38127
4	157	31293
5	162	26844
6	166	23636
7	170	21167
8	174	19246
9	177	17604
10	180	16244
11	182	15045
12	185	14054
13	187	13194
14	189	12414
15	189	11671
16	190	11009
17	191	10420
18	191	9893
19	192	9419
20	192	8995
21	193	8615
22	194	8267
23	195	7944
24	196	7653
25	197	7382
26	197	7133
27	198	6894
28	199	6671
29	199	6462
30	200	6270
31	201	6093
32	202	5920
33	202	5759
34	203	5608
35	203	5462
36	204	5327
37	205	5198
38	205	5075
39	206	4956
40	207	4845
41	207	4739
42	208	4641
43	209	4549
44	210	4459
45	210	4369
46	211	4283
47	211	4201
48	212	4122
49	212	4046
50	213	3973
51	214	3903
52	214	3837
53	215	3772
54	215	3709
55	216	3649
56	217	3591
57	217	3535
58	218	3481
59	218	3429
60	219	3378
61	220	3328
62	220	3280
63	221	3235
64	221	3191
65	222	3151
66	223	3110
67	223	3066
68	224	3025
69	224	2986
70	225	2949
71	226	2913
72	226	2877
73	227	2844
74	228	2813
75	228	2782
76	229	2751
77	230	2720
78	230	2691
79	231	2662
80	232	2634
81	232	2606
82	233	2580
83	234	2553
84	234	2525
85	235	2502
86	235	2475
87	236	2450
88	237	2426
89	237	2402
90	238	2379
91	238	2357
92	239	2336
93	240	2315
94	240	2294
95	241	2273
96	241	2252
97	242	2232
98	243	2212
99	243	2192
100	244	2174
101	244	2153
102	245	2135
103	245	2118
104	246	2102
105	247	2086
106	247	2069
107	248	2052
108	249	2036
109	249	2020
110	250	2005
111	251	1990
112	251	1975
113	252	1960
114	252	1946
115	253	1931
116	254	1917
117	254	1903
118	255	1888
119	255	1876
120	256	1863
121	257	1850
122	257	1835
123	258	1823
124	258	1811
125	259	1799
126	260	1788
127	260	1775
128	261	1763
129	261	1752
130	262	1740
131	262	1729
132	263	1717
133	264	1706
134	264	1696
135	265	1685
136	265	1675
137	266	1663
138	266	1653
139	267	1643
140	268	1633
141	268	1623
142	269	1613
143	269	1603
144	270	1594
145	270	1584
146	271	1576
147	272	1569
148	273	1561
149	273	1552
150	274	1544
151	275	1536
152	275	1527
153	276	1519
154	277	1510
155	277	1503
156	278	1494
157	279	1487
158	279	1478
159	280	1470
160	280	1463
161	281	1455
162	282	1448
163	282	1440
164	283	1433
165	283	1426
166	284	1419
167	285	1413
168	286	1406
169	286	1399
170	287	1392
171	287	1385
172	288	1378
173	288	1371
174	289	1364
175	290	1358
176	290	1351
177	291	1344
178	291	1338
179	292	1332
180	292	1324
181	293	1318
182	293	1312
183	294	1306
184	295	1300
185	296	1295
186	296	1289
187	297	1284
188	298	1280
189	299	1274
190	299	1269
191	300	1264
192	300	1258
193	301	1252
194	302	1247
195	302	1241
196	303	1235
197	303	1230
198	304	1224
199	304	1219
200	305	1214
201	306	1209
202	306	1203
203	307	1199
204	308	1195
205	308	1190
206	309	1186
207	310	1182
208	311	1178
209	311	1173
210	312	1168
211	313	1164
212	313	1159
213	314	1155
214	315	1150
215	315	1146
216	316	1141
217	316	1136
218	317	1132
219	318	1127
220	318	1124
221	319	1119
222	320	1115
223	320	1111
224	321	1107
225	321	1102
226	322	1098
227	323	1095
228	324	1092
229	324	1087
230	325	1083
231	326	1079
232	326	1075
233	327	1071
234	327	1067
235	328	1062
236	328	1058
237	329	1054
238	330	1051
239	330	1047
240	331	1043
241	332	1040
242	332	1036
243	333	1032
244	334	1029
245	334	1025
246	335	1022
247	336	1018
248	336	1015
249	337	1012
250	337	1008
251	338	1004
252	339	1001
253	339	997
254	340	994
255	340	990
256	341	988
257	342	985
258	343	982
259	343	978
260	344	975
261	345	972
262	345	968
263	346	965
264	347	962
265	347	959
266	348	957
267	349	954
268	349	951
269	350	947
270	351	945
271	351	941
272	352	938
273	353	935
274	353	932
275	354	929
276	355	926
277	355	923
278	356	920
279	357	918
280	357	914
281	358	911
282	358	908
283	359	906
284	360	903
285	360	900
286	361	898
287	362	895
288	362	892
289	363	889
290	364	886
291	364	884
292	365	882
293	366	879
294	367	877
295	367	875
296	368	872
297	369	870
298	370	868
299	371	865
300	371	863
301	372	860
302	372	857
303	373	854
304	373	852
305	374	849
306	375	847
307	375	844
308	376	842
309	377	839
310	377	836
311	378	834
312	378	831
313	379	828
314	380	826
315	380	824
316	381	821
317	382	819
318	382	816
319	383	814
320	383	811
321	384	809
322	384	806
323	385	804
324	386	802
325	386	799
326	387	798
327	388	796
328	389	794
329	389	791
330	390	789
331	391	786
332	391	784
